Folder Name,Views and Downloads,Minutes Delivered,Average Minutes Delivered,Percent Completed,Last View Time,Last Position
Lecture3,1,1.431066667,1.431066667,100,10/6/20 6:56,86.711897
Lecture3,1,31.34435605,31.34435605,100,10/6/20 7:02,1880.856964
Lecture4,1,19.88293433,19.88293433,100,10/7/20 18:28,1003.030033
Lecture4,1,7.534869217,7.534869217,100,10/7/20 18:45,452.696155
Lecture4,1,24.52794777,24.52794777,100,10/7/20 19:36,1462.994017
Lecture4,2,26.1983238,13.0991619,100,10/7/20 19:47,1571.760104
Lecture4,1,8.18695,8.18695,100,10/7/20 20:15,491.375209
Lecture2,1,0.894602483,0.894602483,5,9/24/20 9:07,53.769457
Lecture2,1,2.480401617,2.480401617,22,9/22/20 18:19,115.693174
Lecture3,1,0.240431317,0.240431317,1,9/22/20 18:15,14.425879
Lecture5,1,20.43277248,20.43277248,100,9/21/20 16:43,890.421711
Lecture1,1,21.46715778,21.46715778,100,9/28/20 16:24,1188.670164
Lecture1,1,11.64321988,11.64321988,100,9/28/20 17:21,517.803921
Lecture1,1,7.241925717,7.241925717,100,9/28/20 17:51,404.250985
Lecture1,1,14.64946285,14.64946285,100,9/28/20 18:21,869.6047
Lecture1,1,7.471914817,7.471914817,100,9/28/20 18:34,440.397328
Lecture2,1,21.33761048,21.33761048,100,9/30/20 23:29,1280.338645
Lecture2,1,10.76760247,10.76760247,100,9/30/20 23:35,624.954551
Lecture2,1,9.274004767,9.274004767,100,10/1/20 7:57,532.553033
Lecture1,1,20.36706212,20.36706212,100,10/1/20 0:02,1188.709271
Lecture1,1,10.75552843,10.75552843,100,10/4/20 21:04,517.782902
Lecture1,1,8.12873845,8.12873845,100,10/4/20 22:03,404.317483
Lecture1,3,22.12614197,7.375380656,100,10/5/20 13:14,869.630938
Lecture1,1,7.5035274,7.5035274,100,10/5/20 13:35,440.363524
Lecture2,1,23.32431483,23.32431483,100,10/5/20 20:07,1280.347012
Lecture2,1,13.02510953,13.02510953,100,10/5/20 20:59,625.019284
Lecture2,2,24.01898637,12.00949318,100,10/6/20 5:05,969.245046
Lecture2,1,11.03041633,11.03041633,100,10/6/20 7:51,532.570082
Lecture3,1,21.25481765,21.25481765,100,10/10/20 22:37,1196.396772
Lecture3,1,5.91402805,5.91402805,24,10/11/20 2:22,355.019999
Background,2,3.661953967,1.830976983,100,10/6/20 22:51,6.088835
Background,3,19.22557125,6.40852375,100,10/6/20 23:06,855.066677
Lecture1,1,21.19976133,21.19976133,100,10/2/20 23:44,1188.711945
Lecture1,1,9.292009667,9.292009667,100,10/3/20 0:08,517.82453
Lecture1,2,7.208198483,3.604099242,100,10/3/20 20:09,404.243024
Lecture1,1,15.3603333,15.3603333,100,10/3/20 22:12,869.960668
Lecture1,1,7.434402933,7.434402933,100,10/3/20 22:20,440.349988
Lecture2,1,22.32077723,22.32077723,100,10/3/20 22:30,1280.346002
Lecture2,1,0.664743483,0.664743483,7,10/3/20 22:51,39.884609
Lecture2,1,17.75584787,17.75584787,100,10/4/20 13:29,969.652055
Lecture2,1,8.863444867,8.863444867,100,10/4/20 13:35,532.65201
Lecture3,1,20.3569627,20.3569627,99,10/5/20 17:36,1183.284819
Lecture3,2,47.91479558,23.95739779,98,10/10/20 0:13,1636.87053
Lecture3,2,29.66595995,14.83297998,100,10/6/20 1:16,1504.763683
Lecture3,1,0.782061067,0.782061067,20,10/10/20 0:16,46.923664
Lecture4,1,16.70545182,16.70545182,100,10/8/20 1:51,1003.022373
Lecture4,1,7.540283333,7.540283333,100,10/8/20 2:05,452.872283
Lecture4,1,32.45220568,32.45220568,100,10/9/20 13:45,1462.956248
Background,2,7.118299733,3.559149867,100,10/5/20 0:25,213.748579
Background,2,9.5830451,4.79152255,68,10/5/20 0:26,574.567009
Lecture1,6,37.89703992,6.316173319,100,10/6/20 14:40,795.350839
Lecture1,2,15.40702355,7.703511775,99,10/5/20 15:08,509.658489
Lecture1,1,6.732097983,6.732097983,100,9/29/20 16:21,404.037704
Lecture1,2,7.60495985,3.802479925,53,9/29/20 21:10,455.917375
Lecture1,1,7.40211775,7.40211775,100,9/29/20 21:21,4.091783
Background,1,3.55192005,3.55192005,100,10/5/20 22:56,213.516256
Background,1,8.5499781,8.5499781,61,10/5/20 23:10,514.425423
Lecture1,2,20.91121553,10.45560777,100,9/28/20 13:27,1188.72606
Lecture1,2,9.3219968,4.6609984,100,9/28/20 14:23,517.851404
Lecture1,2,6.71674665,3.358373325,100,9/28/20 15:00,403.325742
Lecture1,2,15.82845515,7.914227575,100,9/28/20 14:03,869.608754
Lecture1,3,7.59173365,2.530577883,100,9/28/20 15:12,434.727822
Lecture2,1,22.14300893,22.14300893,100,10/1/20 7:38,1280.31633
Lecture2,1,2.763996333,2.763996333,29,10/1/20 7:56,570.872305
Lecture3,1,19.81507648,19.81507648,100,10/6/20 7:11,1189.051263
Lecture3,1,21.48721027,21.48721027,79,10/6/20 7:56,1296.024841
Lecture4,1,16.71093503,16.71093503,100,10/8/20 6:50,1002.995697
Lecture4,2,7.542309933,3.771154967,100,10/8/20 7:05,452.419842
Lecture4,1,0.287459183,0.287459183,2,10/8/20 7:06,17.247551
Lecture4,1,26.75110587,26.75110587,100,10/8/20 7:31,1571.834688
Lecture4,1,8.335581483,8.335581483,100,10/8/20 7:46,491.311117
Background,4,3.707130583,0.926782646,100,10/3/20 9:50,213.616894
Background,3,13.87835482,4.626118272,91,10/5/20 14:32,426.996073
Lecture1,1,20.0645451,20.0645451,100,9/30/20 20:59,1188.641153
Lecture1,1,9.058610283,9.058610283,100,9/30/20 21:12,521.17825
Lecture1,1,6.202868783,6.202868783,93,9/30/20 21:23,372.329627
Lecture1,2,16.5855642,8.2927821,98,9/30/20 21:46,869.593132
Lecture1,2,7.3369963,3.66849815,100,9/30/20 21:53,441.32379
Lecture2,3,23.25822997,7.752743322,100,10/1/20 0:32,1280.325755
Lecture2,1,10.36936635,10.36936635,100,10/1/20 2:05,622.542966
Lecture2,1,16.15118517,16.15118517,100,10/1/20 2:19,969.156557
Lecture2,1,12.77466335,12.77466335,100,10/1/20 2:35,532.499537
Lecture3,1,20.50432025,20.50432025,99,10/5/20 21:19,1150.644638
Lecture3,5,40.06924898,8.013849797,100,10/6/20 3:17,1665.35993
Lecture3,1,29.94881498,29.94881498,100,10/5/20 22:02,1504.74791
Lecture3,2,3.93891575,1.969457875,100,10/6/20 0:28,236.301761
