polis_number,Name,Latitude,Longitude,Hellenicity,Fame,Size,Colonies,Regime,Delian
178,Drymos,38.7086695,22.5585205,most Greek,0.75,25-100 km sq,0,,not in Delian League
179,Echedameia,,,most Greek,0.37,,0,,not in Delian League
180,Elateia,38.629841,22.7658245,most Greek,1.75,100-200 km sq,0,,not in Delian League
181,Erochos,38.623689,22.540903,most Greek,1.12,0-25 km sq,0,,not in Delian League
182,Hyampolis,38.5946805,22.9187625,most Greek,1.62,0-25 km sq,0,,not in Delian League
183,Kirrha,38.428937,22.450621,most Greek,2.87,,0,,not in Delian League
184,Ledon,38.654801,22.680539,most Greek,0.87,0-25 km sq,0,,not in Delian League
185,Lilaia,38.6304149,22.50953775,most Greek,2.12,0-25 km sq,0,,not in Delian League
186,Medeon,38.367629,22.688832,most Greek,0.62,25-100 km sq,0,,not in Delian League
187,Neon/Tithorea,38.5817245,22.673318,most Greek,1.75,25-100 km sq,0,,not in Delian League
188,Parapotamioi,38.551148,22.817862,most Greek,1.25,25-100 km sq,0,,not in Delian League
189,Pedieis,38.626517,22.671601,most Greek,0.87,25-100 km sq,0,,not in Delian League
190,Phanoteus/Panopeus,38.498702,22.822117,most Greek,1.87,0-25 km sq,0,,not in Delian League
191,Phylgonion,38.5,22.75,most Greek,1.5,25-100 km sq,0,,not in Delian League
192,Po[…],,,most Greek,0.37,,0,,not in Delian League
193,Stiris,38.41666667,22.75,most Greek,0.62,25-100 km sq,0,,not in Delian League
194,Teithronion,38.66666667,22.58333333,most Greek,0.75,25-100 km sq,0,,not in Delian League
195,Trachis,38.792037,22.447577,most Greek,0.87,,0,,not in Delian League
196,Triteis,,,most Greek,0.62,,0,,not in Delian League
197,Troneia,38.554265,22.704926,most Greek,1.12,0-25 km sq,0,,not in Delian League
198,Akraiphia/Akraiphnion,38.4526062,23.2197021,most Greek,2,25-100 km sq,0,no evidence of democracy,not in Delian League
199,Alalkomenai,38.392521,23.018698,most Greek,0.62,0-25 km sq,0,,not in Delian League
200,Anthedon,38.497693,23.451655,most Greek,1.12,25-100 km sq,0,,not in Delian League
201,Chaironeia,38.495182,22.8434315,most Greek,1.62,25-100 km sq,0,no evidence of democracy,not in Delian League
202,Chorsiai,38.248774,22.886793,most Greek,1.12,25-100 km sq,0,,not in Delian League
203,Erythrai,38.125,23.375,most Greek,0.75,0-25 km sq,0,,not in Delian League
204,Eteonos/Skaphai,,,most Greek,0.62,,0,,not in Delian League
205,Eutresis,38.268249,23.20466,most Greek,0.5,0-25 km sq,0,,not in Delian League
206,Haliartos,38.380377,23.09843833,most Greek,2,25-100 km sq,0,no evidence of democracy,not in Delian League
207,Hyettos,38.555375,23.103147,most Greek,1.25,25-100 km sq,0,no evidence of democracy,not in Delian League
208,Hysiai,38.217217,23.344419,most Greek,1,0-25 km sq,0,,not in Delian League
209,Kopai,38.501525,23.163285,most Greek,1,100-200 km sq,0,no evidence of democracy,not in Delian League
210,Koroneia,38.391204,22.957112,most Greek,2,25-100 km sq,0,no evidence of democracy,not in Delian League
211,Lebadeia,38.4353745,22.8749615,most Greek,1.75,25-100 km sq,0,,not in Delian League
212,Mykalessos,38.41672,23.519602,most Greek,1,25-100 km sq,0,,not in Delian League
213,Orchomenos,38.49457533,22.978315,most Greek,3.5,100-200 km sq,0,no evidence of democracy,not in Delian League
214,Oropos,38.3194635,23.7899985,most Greek,2.25,100-200 km sq,0,,not in Delian League
215,Pharai,38.365511,23.622995,most Greek,0.37,0-25 km sq,0,,not in Delian League
216,Plataia,38.21573033,23.27184733,most Greek,3.87,100-200 km sq,1,evidence of democracy,not in Delian League
217,Potniaia,38.29991,23.311633,most Greek,0.5,0-25 km sq,0,,not in Delian League
218,Siphai,38.181242,23.036561,most Greek,1,0-25 km sq,0,no evidence of democracy,not in Delian League
219,Skolos,38.309378,23.38353,most Greek,0.75,0-25 km sq,0,,not in Delian League
220,Tanagra,38.30019833,23.581173,most Greek,2.37,500 km sq or more,1,no evidence of democracy,not in Delian League
221,Thebai,38.319156,23.317577,most Greek,5.62,500 km sq or more,0,evidence of democracy,not in Delian League
222,Thespiai,38.295831,23.1528615,most Greek,3,200-500 km sq,1,no evidence of democracy,not in Delian League
223,Thisbai,38.26088667,22.967793,most Greek,1,100-200 km sq,0,,not in Delian League
224,Aigosthena,38.1497606,23.2294868,most Greek,0.5,0-25 km sq,0,,not in Delian League
225,Megara,37.985078,23.340163,most Greek,4.37,200-500 km sq,7,evidence of democracy,not in Delian League
226,Pagai,38.084923,23.197116,most Greek,0.5,0-25 km sq,0,,not in Delian League
227,Korinthos,37.89994717,22.89867949,most Greek,6,500 km sq or more,13,evidence of democracy,not in Delian League
228,Sikyon,37.982299,22.7168885,most Greek,4.25,200-500 km sq,0,evidence of democracy,not in Delian League
229,Aigai (Achaia),38.154879,22.314637,most Greek,1.25,0-25 km sq,6,evidence of democracy,not in Delian League
230,Aigeira,38.1297925,22.377887,most Greek,1.37,0-25 km sq,0,evidence of democracy,not in Delian League
231,Aigion,38.252707,22.081952,most Greek,1.37,25-100 km sq,0,evidence of democracy,not in Delian League
232,Ascheion,37.468145,22.141115,most Greek,0.25,,0,evidence of democracy,not in Delian League
233,Boura,38.142006,22.231166,most Greek,1,25-100 km sq,0,,not in Delian League
234,Dyme,38.144625,21.551425,most Greek,1.75,200-500 km sq,0,evidence of democracy,not in Delian League
235,Helike,38.220538,22.144303,most Greek,1.12,0-25 km sq,0,,not in Delian League
236,Keryneia,38.158659,22.143425,most Greek,0.37,0-25 km sq,0,evidence of democracy,not in Delian League
237,Leontion,38.004121,21.913025,most Greek,0.37,25-100 km sq,0,evidence of democracy,not in Delian League
238,Olenos,38.153707,21.640599,most Greek,0.75,25-100 km sq,0,evidence of democracy,not in Delian League
239,Patrai,38.247847,21.735631,most Greek,1,100-200 km sq,0,evidence of democracy,not in Delian League
240,Pellene,38.043207,22.548344,most Greek,2.37,100-200 km sq,1,evidence of democracy,not in Delian League
241,Pharai,38.093144,21.717095,most Greek,0.5,100-200 km sq,0,evidence of democracy,not in Delian League
242,Phelloe,38.077545,22.413941,most Greek,0.37,0-25 km sq,0,evidence of democracy,not in Delian League
243,Rhypai/Rhype,38.213931,22.018942,most Greek,1,,0,evidence of democracy,not in Delian League
244,Tritaia,37.9527,21.711021,most Greek,0.5,,0,evidence of democracy,not in Delian League
245,Alasyaion,,,most Greek,0.37,,0,,not in Delian League
246,Alion,,,most Greek,0.12,,0,,not in Delian League
247,Amphidolia,37.75,21.75,most Greek,0.5,,0,,not in Delian League
248,Anaitoi,,,most Greek,0.37,,0,,not in Delian League
249,Chaladrioi,,,most Greek,0.37,,0,,not in Delian League
250,Dyspontion,,,most Greek,0.37,,0,,not in Delian League
251,Elis,37.891781,21.375091,most Greek,8,500 km sq or more,4,evidence of democracy,not in Delian League
252,Eupagion,,,most Greek,0.12,,0,,not in Delian League
253,Ewaoioi,,,most Greek,0.25,,0,,not in Delian League
254,Kyllene,37.933241,21.143869,most Greek,0.5,0-25 km sq,0,,not in Delian League
255,Larissa,,,most Greek,0.25,,0,,not in Delian League
256,Lasion,37.798028,21.743462,most Greek,0.5,25-100 km sq,0,,not in Delian League
257,Lenos,37.468145,22.141115,most Greek,0.25,,0,,not in Delian League
